order_id,customer_id,order_date,product_id,product_name,category,quantity,unit_price,discount,payment_method,city,status,total_amount
ORD000055,CUS00623,2026-03-14,P001,Laptop ASUS,Electronics,3,25000000,0.15,Cash,Ha Noi,Completed,63750000.0
ORD000056,CUS01047,2026-05-29,P004,Sony Headphones,Electronics,5,3500000,0.2,Banking,Ho Chi Minh,Completed,14000000.0
ORD000057,CUS01269,2026-04-27,P011,Python Programming Book,Books,5,300000,0.0,Cash,Ho Chi Minh,Completed,1500000.0
ORD000059,CUS01427,2026-04-13,P012,Data Engineering Book,Books,1,450000,0.2,Cash,Nha Trang,Cancelled,360000.0
ORD000060,CUS00219,2026-07-08,P015,Badminton Racket,Sports,1,900000,0.2,Credit Card,Ho Chi Minh,Completed,720000.0
ORD000061,CUS00249,2026-05-26,P014,Yoga Mat,Sports,1,400000,0.15,E-Wallet,Da Nang,Returned,340000.0
ORD000062,CUS00907,2026-06-24,P015,Badminton Racket,Sports,4,900000,0.1,E-Wallet,Da Nang,Cancelled,3240000.0
ORD000063,CUS01765,2026-05-09,P012,Data Engineering Book,Books,3,450000,0.2,Banking,Bien Hoa,Completed,1080000.0
ORD000064,CUS00563,2026-05-23,P004,Sony Headphones,Electronics,1,3500000,0.05,Banking,Nha Trang,Completed,3325000.0
ORD000065,CUS00474,2026-04-05,P003,Samsung Galaxy S24,Electronics,2,18000000,0.0,Credit Card,Ha Noi,Completed,36000000.0
ORD000066,CUS00424,2026-08-13,P001,Laptop ASUS,Electronics,4,25000000,0.15,E-Wallet,Ho Chi Minh,Cancelled,85000000.0
ORD000067,CUS00780,2026-05-31,P010,Vacuum Cleaner,Home Appliances,1,4200000,0.1,E-Wallet,Vung Tau,Completed,3780000.0
ORD000068,CUS01505,2026-06-20,P012,Data Engineering Book,Books,4,450000,0.1,Banking,Ha Noi,Completed,1620000.0
ORD000069,CUS01370,2026-07-13,P006,Women Dress,Fashion,2,650000,0.1,E-Wallet,Hue,Completed,1170000.0
ORD000070,CUS00807,2026-06-22,P015,Badminton Racket,Sports,1,900000,0.2,Credit Card,Thu Dau Mot,Completed,720000.0
ORD000071,CUS00777,2026-04-15,P005,Men T-Shirt,Fashion,1,250000,0.1,Banking,Vung Tau,Completed,225000.0
ORD000072,CUS00168,2026-05-24,P014,Yoga Mat,Sports,2,400000,0.05,Banking,Ho Chi Minh,Returned,760000.0
ORD000073,CUS01545,2026-01-08,P001,Laptop ASUS,Electronics,1,25000000,0.0,Cash,Ho Chi Minh,Completed,25000000.0
ORD000074,CUS01156,2026-08-15,P002,iPhone 15,Electronics,2,22000000,0.05,Banking,Can Tho,Completed,41800000.0
ORD000075,CUS01593,2026-07-31,P002,iPhone 15,Electronics,1,22000000,0.15,Banking,Ha Noi,Completed,18700000.0
ORD000076,CUS00813,2026-08-07,P007,Nike Sneakers,Fashion,1,2500000,0.2,E-Wallet,Ho Chi Minh,Completed,2000000.0
ORD000077,CUS01742,2026-07-26,P005,Men T-Shirt,Fashion,1,250000,0.15,Cash,Ha Noi,Completed,212500.0
ORD000078,CUS00142,2026-05-11,P006,Women Dress,Fashion,1,650000,0.1,E-Wallet,Ho Chi Minh,Returned,585000.0
ORD000079,CUS01826,2026-07-23,P011,Python Programming Book,Books,1,300000,0.0,Cash,Vung Tau,Completed,300000.0
ORD000080,CUS01884,2026-06-16,P013,Lipstick,Beauty,1,450000,0.2,Credit Card,Ha Noi,Completed,360000.0
ORD000081,CUS00178,2026-03-15,P015,Badminton Racket,Sports,1,900000,0.1,Credit Card,Hai Phong,Completed,810000.0
ORD000082,CUS01743,2026-04-16,P008,Rice Cooker,Home Appliances,1,1500000,0.05,Banking,Nha Trang,Completed,1425000.0
ORD000083,CUS01139,2026-01-31,P005,Men T-Shirt,Fashion,1,250000,0.0,Cash,Ha Noi,Completed,250000.0
ORD000084,CUS00976,2026-06-16,P012,Data Engineering Book,Books,1,450000,0.0,Banking,Ho Chi Minh,Completed,450000.0
ORD000086,CUS00930,2026-03-09,P012,Data Engineering Book,Books,1,450000,0.2,Banking,Ho Chi Minh,Completed,360000.0
ORD000087,CUS01414,2026-03-07,P013,Lipstick,Beauty,2,450000,0.05,Cash,Hue,Completed,855000.0
ORD000088,CUS00206,2026-08-10,P005,Men T-Shirt,Fashion,1,250000,0.0,Banking,Hai Phong,Completed,250000.0
ORD000089,CUS01996,2026-01-10,P001,Laptop ASUS,Electronics,2,25000000,0.0,Cash,Bien Hoa,Completed,50000000.0
ORD000090,CUS01176,2026-03-16,P001,Laptop ASUS,Electronics,1,25000000,0.0,E-Wallet,Ho Chi Minh,Cancelled,25000000.0
ORD000091,CUS01684,2026-01-16,P002,iPhone 15,Electronics,1,22000000,0.2,Cash,Ho Chi Minh,Pending,17600000.0
ORD000092,CUS00175,2026-08-04,P005,Men T-Shirt,Fashion,2,250000,0.1,Cash,Bien Hoa,Completed,450000.0
ORD000093,CUS00780,2026-05-15,P009,Air Fryer,Home Appliances,1,2800000,0.15,E-Wallet,Ha Noi,Completed,2380000.0
ORD000094,CUS01967,2026-07-31,P010,Vacuum Cleaner,Home Appliances,3,4200000,0.2,Banking,Hai Phong,Completed,10080000.0
ORD000095,CUS01131,2026-01-01,P003,Samsung Galaxy S24,Electronics,1,18000000,0.2,Credit Card,Ho Chi Minh,Completed,14400000.0
ORD000096,CUS00580,2026-07-15,P012,Data Engineering Book,Books,1,450000,0.0,E-Wallet,Bien Hoa,Completed,450000.0
ORD000097,CUS01647,2026-08-14,P011,Python Programming Book,Books,1,300000,0.0,Cash,Nha Trang,Pending,300000.0
ORD000098,CUS00123,2026-02-10,P002,iPhone 15,Electronics,2,22000000,0.15,E-Wallet,Ha Noi,Completed,37400000.0
ORD000099,CUS01434,2026-04-09,P005,Men T-Shirt,Fashion,2,250000,0.1,Credit Card,Da Nang,Cancelled,450000.0
ORD000100,CUS00661,2026-06-01,P012,Data Engineering Book,Books,1,450000,0.2,E-Wallet,Da Nang,Returned,360000.0
ORD000101,CUS01377,2026-07-19,P013,Lipstick,Beauty,1,450000,0.0,Credit Card,Can Tho,Cancelled,450000.0
ORD000102,CUS01199,2026-05-27,P003,Samsung Galaxy S24,Electronics,1,18000000,0.0,Credit Card,Ha Noi,Completed,18000000.0
ORD000103,CUS01757,2026-02-14,P002,iPhone 15,Electronics,2,22000000,0.05,Cash,Ha Noi,Completed,41800000.0
ORD000104,CUS00932,2026-02-09,P001,Laptop ASUS,Electronics,1,25000000,0.1,E-Wallet,Thu Dau Mot,Completed,22500000.0
ORD000105,CUS01112,2026-05-02,P014,Yoga Mat,Sports,1,400000,0.05,Cash,Ha Noi,Completed,380000.0
ORD000106,CUS00417,2026-03-05,P001,Laptop ASUS,Electronics,4,25000000,0.1,E-Wallet,Ha Noi,Completed,90000000.0
ORD000107,CUS01247,2026-07-23,P011,Python Programming Book,Books,1,300000,0.15,Banking,Ha Noi,Completed,255000.0
ORD000108,CUS01870,2026-02-04,P014,Yoga Mat,Sports,2,400000,0.0,Credit Card,Hai Phong,Completed,800000.0
ORD000109,CUS00851,2026-08-16,P005,Men T-Shirt,Fashion,1,250000,0.15,Banking,Ho Chi Minh,Completed,212500.0
ORD000110,CUS01801,2026-02-03,P012,Data Engineering Book,Books,1,450000,0.1,Banking,Bien Hoa,Completed,405000.0
ORD000111,CUS00580,2026-07-27,P001,Laptop ASUS,Electronics,2,25000000,0.2,Credit Card,Ho Chi Minh,Completed,40000000.0
ORD000112,CUS00681,2026-06-18,P006,Women Dress,Fashion,1,650000,0.05,E-Wallet,Hue,Completed,617500.0
ORD000113,CUS00479,2026-08-14,P007,Nike Sneakers,Fashion,1,2500000,0.2,Credit Card,Nha Trang,Completed,2000000.0
ORD000114,CUS01623,2026-07-05,P011,Python Programming Book,Books,1,300000,0.0,Banking,Vung Tau,Completed,300000.0
ORD000115,CUS01791,2026-08-04,P002,iPhone 15,Electronics,2,22000000,0.1,Banking,Ho Chi Minh,Cancelled,39600000.0
ORD000116,CUS00154,2026-05-09,P003,Samsung Galaxy S24,Electronics,1,18000000,0.2,Credit Card,Ho Chi Minh,Completed,14400000.0
ORD000117,CUS01760,2026-06-11,P011,Python Programming Book,Books,2,300000,0.1,E-Wallet,Ho Chi Minh,Completed,540000.0
ORD000118,CUS01402,2026-08-08,P011,Python Programming Book,Books,2,300000,0.1,E-Wallet,Bien Hoa,Completed,540000.0
ORD000119,CUS00909,2026-02-10,P002,iPhone 15,Electronics,4,22000000,0.0,Banking,Ho Chi Minh,Completed,88000000.0
ORD000120,CUS00299,2026-03-14,P007,Nike Sneakers,Fashion,2,2500000,0.0,Banking,Ho Chi Minh,Cancelled,5000000.0
ORD000121,CUS01400,2026-03-30,P010,Vacuum Cleaner,Home Appliances,2,4200000,0.0,Credit Card,Ho Chi Minh,Completed,8400000.0
ORD000122,CUS01841,2026-07-29,P001,Laptop ASUS,Electronics,1,25000000,0.15,Banking,Ha Noi,Completed,21250000.0
ORD000124,CUS00219,2026-03-19,P008,Rice Cooker,Home Appliances,1,1500000,0.05,E-Wallet,Ho Chi Minh,Returned,1425000.0
ORD000125,CUS00811,2026-03-19,P011,Python Programming Book,Books,3,300000,0.2,E-Wallet,Nha Trang,Completed,720000.0
ORD000126,CUS01852,2026-08-25,P014,Yoga Mat,Sports,3,400000,0.15,E-Wallet,Ho Chi Minh,Completed,1020000.0
ORD000127,CUS01389,2026-07-25,P005,Men T-Shirt,Fashion,2,250000,0.0,Cash,Nha Trang,Completed,500000.0
ORD000128,CUS01616,2026-05-19,P005,Men T-Shirt,Fashion,1,250000,0.0,Banking,Ho Chi Minh,Completed,250000.0
ORD000129,CUS00412,2026-02-18,P003,Samsung Galaxy S24,Electronics,4,18000000,0.05,Credit Card,Nha Trang,Pending,68400000.0
ORD000130,CUS01872,2026-07-16,P005,Men T-Shirt,Fashion,5,250000,0.05,Cash,Ha Noi,Completed,1187500.0
ORD000131,CUS00289,2026-07-08,P002,iPhone 15,Electronics,3,22000000,0.2,Cash,Ha Noi,Pending,52800000.0
ORD000132,CUS00750,2026-02-13,P009,Air Fryer,Home Appliances,1,2800000,0.15,Banking,Ha Noi,Completed,2380000.0
ORD000133,CUS01198,2026-04-21,P005,Men T-Shirt,Fashion,4,250000,0.0,Cash,Ha Noi,Completed,1000000.0
ORD000134,CUS00672,2026-08-08,P009,Air Fryer,Home Appliances,2,2800000,0.2,E-Wallet,Nha Trang,Completed,4480000.0
ORD000135,CUS00239,2026-02-02,P007,Nike Sneakers,Fashion,1,2500000,0.1,Banking,Ho Chi Minh,Completed,2250000.0
ORD000136,CUS00930,2026-04-24,P007,Nike Sneakers,Fashion,2,2500000,0.15,Credit Card,Bien Hoa,Completed,4250000.0
ORD000137,CUS01342,2026-02-16,P007,Nike Sneakers,Fashion,2,2500000,0.05,Banking,Ha Noi,Completed,4750000.0
ORD000138,CUS01752,2026-04-22,P004,Sony Headphones,Electronics,1,3500000,0.2,Credit Card,Ha Noi,Completed,2800000.0
ORD000140,CUS00684,2026-03-05,P013,Lipstick,Beauty,3,450000,0.0,Banking,Bien Hoa,Completed,1350000.0
ORD000141,CUS01666,2026-08-11,P004,Sony Headphones,Electronics,3,3500000,0.15,Banking,Thu Dau Mot,Completed,8925000.0
ORD000142,CUS01107,2026-03-06,P003,Samsung Galaxy S24,Electronics,1,18000000,0.0,Banking,Ha Noi,Completed,18000000.0
ORD000143,CUS00664,2026-01-09,P010,Vacuum Cleaner,Home Appliances,1,4200000,0.2,Credit Card,Ho Chi Minh,Completed,3360000.0
ORD000144,CUS01594,2026-04-19,P008,Rice Cooker,Home Appliances,1,1500000,0.15,Banking,Can Tho,Completed,1275000.0
ORD000146,CUS00222,2026-05-30,P011,Python Programming Book,Books,1,300000,0.0,Banking,Ho Chi Minh,Completed,300000.0
ORD000147,CUS01297,2026-06-23,P010,Vacuum Cleaner,Home Appliances,1,4200000,0.15,Credit Card,Ha Noi,Completed,3570000.0
ORD000148,CUS01625,2026-07-28,P002,iPhone 15,Electronics,2,22000000,0.15,Cash,Ho Chi Minh,Completed,37400000.0
ORD000149,CUS00848,2026-04-15,P004,Sony Headphones,Electronics,1,3500000,0.2,Banking,Ha Noi,Completed,2800000.0
ORD000150,CUS01953,2026-02-16,P006,Women Dress,Fashion,1,650000,0.0,Banking,Ho Chi Minh,Completed,650000.0
ORD000151,CUS00267,2026-06-19,P013,Lipstick,Beauty,5,450000,0.15,Banking,Ho Chi Minh,Completed,1912500.0
ORD000152,CUS01928,2026-07-28,P011,Python Programming Book,Books,4,300000,0.0,E-Wallet,Can Tho,Completed,1200000.0
ORD000153,CUS01040,2026-03-22,P010,Vacuum Cleaner,Home Appliances,1,4200000,0.0,Credit Card,Da Nang,Completed,4200000.0
ORD000154,CUS01176,2026-03-14,P005,Men T-Shirt,Fashion,3,250000,0.15,Cash,Can Tho,Completed,637500.0
ORD000155,CUS01348,2026-07-09,P015,Badminton Racket,Sports,1,900000,0.05,Cash,Ha Noi,Completed,855000.0
ORD000156,CUS00372,2026-08-19,P001,Laptop ASUS,Electronics,2,25000000,0.0,Banking,Can Tho,Completed,50000000.0
ORD000157,CUS01087,2026-03-14,P012,Data Engineering Book,Books,1,450000,0.0,Credit Card,Bien Hoa,Completed,450000.0
ORD000158,CUS01222,2026-01-02,P010,Vacuum Cleaner,Home Appliances,1,4200000,0.15,Banking,Ho Chi Minh,Completed,3570000.0
ORD000159,CUS00995,2026-06-14,P007,Nike Sneakers,Fashion,1,2500000,0.15,Banking,Ha Noi,Completed,2125000.0
ORD000160,CUS01215,2026-05-22,P011,Python Programming Book,Books,1,300000,0.0,Credit Card,Da Nang,Completed,300000.0
ORD000161,CUS01937,2026-03-05,P005,Men T-Shirt,Fashion,3,250000,0.05,Banking,Ho Chi Minh,Completed,712500.0
ORD000162,CUS00265,2026-04-23,P003,Samsung Galaxy S24,Electronics,1,18000000,0.15,E-Wallet,Thu Dau Mot,Completed,15300000.0
ORD000163,CUS01520,2026-01-01,P014,Yoga Mat,Sports,1,400000,0.0,E-Wallet,Da Nang,Completed,400000.0
ORD000164,CUS01312,2026-05-04,P012,Data Engineering Book,Books,1,450000,0.05,Banking,Vung Tau,Completed,427500.0
ORD000165,CUS01884,2026-04-14,P012,Data Engineering Book,Books,3,450000,0.0,Credit Card,Ha Noi,Completed,1350000.0
ORD000166,CUS00636,2026-07-08,P014,Yoga Mat,Sports,1,400000,0.0,Banking,Can Tho,Completed,400000.0
ORD000167,CUS01856,2026-07-12,P004,Sony Headphones,Electronics,2,3500000,0.2,E-Wallet,Ho Chi Minh,Completed,5600000.0
ORD000168,CUS00356,2026-06-25,P004,Sony Headphones,Electronics,3,3500000,0.0,Banking,Bien Hoa,Completed,10500000.0
ORD000169,CUS01155,2026-07-15,P013,Lipstick,Beauty,2,450000,0.15,Cash,Hue,Completed,765000.0
ORD000170,CUS00648,2026-02-03,P011,Python Programming Book,Books,1,300000,0.2,Banking,Ho Chi Minh,Completed,240000.0
ORD000171,CUS00152,2026-04-15,P009,Air Fryer,Home Appliances,1,2800000,0.05,E-Wallet,Ho Chi Minh,Cancelled,2660000.0
ORD000172,CUS00185,2026-06-17,P014,Yoga Mat,Sports,1,400000,0.15,Credit Card,Bien Hoa,Cancelled,340000.0
ORD000173,CUS01862,2026-07-21,P008,Rice Cooker,Home Appliances,1,1500000,0.15,Credit Card,Ho Chi Minh,Completed,1275000.0
ORD000174,CUS01661,2026-08-11,P002,iPhone 15,Electronics,5,22000000,0.0,Credit Card,Ho Chi Minh,Completed,110000000.0
ORD000175,CUS00900,2026-05-20,P008,Rice Cooker,Home Appliances,1,1500000,0.05,E-Wallet,Ha Noi,Completed,1425000.0
ORD000176,CUS01225,2026-01-21,P011,Python Programming Book,Books,2,300000,0.0,Banking,Da Nang,Completed,600000.0
ORD000177,CUS01483,2026-08-31,P005,Men T-Shirt,Fashion,4,250000,0.0,Banking,Da Nang,Completed,1000000.0
ORD000178,CUS00636,2026-08-23,P006,Women Dress,Fashion,2,650000,0.0,Credit Card,Vung Tau,Completed,1300000.0
ORD000179,CUS01318,2026-07-27,P007,Nike Sneakers,Fashion,1,2500000,0.2,E-Wallet,Bien Hoa,Completed,2000000.0
ORD000180,CUS00192,2026-06-14,P009,Air Fryer,Home Appliances,2,2800000,0.0,Credit Card,Ho Chi Minh,Completed,5600000.0
ORD000181,CUS00996,2026-03-05,P013,Lipstick,Beauty,1,450000,0.05,E-Wallet,Ho Chi Minh,Completed,427500.0
ORD000182,CUS01513,2026-08-02,P014,Yoga Mat,Sports,2,400000,0.15,Banking,Ha Noi,Completed,680000.0
ORD000183,CUS01419,2026-07-26,P014,Yoga Mat,Sports,4,400000,0.2,Credit Card,Ha Noi,Completed,1280000.0
ORD000184,CUS01986,2026-05-10,P004,Sony Headphones,Electronics,3,3500000,0.1,Banking,Ho Chi Minh,Returned,9450000.0
ORD000185,CUS00961,2026-08-07,P013,Lipstick,Beauty,1,450000,0.15,E-Wallet,Ha Noi,Completed,382500.0
ORD000186,CUS01030,2026-05-31,P007,Nike Sneakers,Fashion,1,2500000,0.0,E-Wallet,Ho Chi Minh,Completed,2500000.0
ORD000187,CUS00985,2026-08-18,P011,Python Programming Book,Books,4,300000,0.2,E-Wallet,Thu Dau Mot,Completed,960000.0
ORD000188,CUS00329,2026-03-29,P013,Lipstick,Beauty,2,450000,0.1,Banking,Nha Trang,Pending,810000.0
ORD000189,CUS00716,2026-08-14,P015,Badminton Racket,Sports,1,900000,0.15,Credit Card,Ha Noi,Completed,765000.0
ORD000190,CUS00058,2026-04-04,P004,Sony Headphones,Electronics,3,3500000,0.2,Banking,Unknown,Completed,8400000.0
ORD000191,CUS01700,2026-05-27,P015,Badminton Racket,Sports,1,900000,0.2,Credit Card,Can Tho,Cancelled,720000.0
ORD000192,CUS00525,2026-03-05,P001,Laptop ASUS,Electronics,2,25000000,0.2,Cash,Ha Noi,Completed,40000000.0
ORD000193,CUS00617,2026-02-08,P004,Sony Headphones,Electronics,1,3500000,0.15,Credit Card,Ho Chi Minh,Cancelled,2975000.0
ORD000194,CUS01098,2026-01-17,P010,Vacuum Cleaner,Home Appliances,2,4200000,0.2,Banking,Ha Noi,Completed,6720000.0
ORD000195,CUS01169,2026-05-22,P004,Sony Headphones,Electronics,2,3500000,0.15,E-Wallet,Ho Chi Minh,Completed,5950000.0
ORD000196,CUS01611,2026-08-18,P009,Air Fryer,Home Appliances,1,2800000,0.1,Banking,Ha Noi,Completed,2520000.0
ORD000197,CUS00034,2026-04-03,P012,Data Engineering Book,Books,1,450000,0.2,Cash,Ho Chi Minh,Completed,360000.0
ORD000199,CUS00981,2026-06-26,P012,Data Engineering Book,Books,1,450000,0.2,Cash,Ha Noi,Completed,360000.0
ORD000200,CUS01621,2026-03-02,P001,Laptop ASUS,Electronics,1,25000000,0.05,Credit Card,Hue,Completed,23750000.0
ORD000201,CUS00075,2026-07-07,P005,Men T-Shirt,Fashion,1,250000,0.0,E-Wallet,Ha Noi,Completed,250000.0
ORD000202,CUS00895,2026-08-24,P006,Women Dress,Fashion,1,650000,0.1,Banking,Ho Chi Minh,Completed,585000.0
ORD000204,CUS01118,2026-03-04,P003,Samsung Galaxy S24,Electronics,1,18000000,0.2,Banking,Ha Noi,Completed,14400000.0
ORD000205,CUS01413,2026-05-15,P003,Samsung Galaxy S24,Electronics,1,18000000,0.05,Cash,Ha Noi,Completed,17100000.0
ORD000206,CUS01942,2026-01-22,P013,Lipstick,Beauty,2,450000,0.05,Credit Card,Bien Hoa,Completed,855000.0
ORD000207,CUS00293,2026-08-22,P001,Laptop ASUS,Electronics,3,25000000,0.0,Banking,Ho Chi Minh,Completed,75000000.0
ORD000208,CUS00785,2026-08-02,P006,Women Dress,Fashion,2,650000,0.2,Credit Card,Ha Noi,Completed,1040000.0
ORD000209,CUS01176,2026-02-12,P002,iPhone 15,Electronics,1,22000000,0.2,Banking,Vung Tau,Completed,17600000.0
ORD000210,CUS01023,2026-05-30,P003,Samsung Galaxy S24,Electronics,2,18000000,0.05,Cash,Hai Phong,Completed,34200000.0
ORD000211,CUS00585,2026-07-16,P010,Vacuum Cleaner,Home Appliances,1,4200000,0.0,E-Wallet,Ha Noi,Cancelled,4200000.0
ORD000212,CUS00180,2026-07-31,P008,Rice Cooker,Home Appliances,3,1500000,0.05,Cash,Hai Phong,Completed,4275000.0
ORD000213,CUS01826,2026-04-06,P005,Men T-Shirt,Fashion,2,250000,0.2,Cash,Bien Hoa,Completed,400000.0
ORD000214,CUS00412,2026-07-08,P002,iPhone 15,Electronics,3,22000000,0.0,Credit Card,Da Nang,Completed,66000000.0
ORD000215,CUS00266,2026-06-03,P009,Air Fryer,Home Appliances,1,2800000,0.1,E-Wallet,Hai Phong,Completed,2520000.0
ORD000216,CUS00839,2026-07-03,P013,Lipstick,Beauty,1,450000,0.05,Cash,Ha Noi,Completed,427500.0
ORD000217,CUS00263,2026-08-25,P006,Women Dress,Fashion,2,650000,0.15,Banking,Vung Tau,Completed,1105000.0
